Number of clusters	Members in cluster	Percentage of total
1	136	.30800
2	114	.25800
3	105	.23800
4	105	.23800
5	102	.23100
6	100	.22600
7	98	.22200
8	98	.22200
9	95	.21500
10	94	.21300
11	88	.19900
12	88	.19900
13	87	.19700
14	87	.19700
15	87	.19700
16	86	.19500
17	84	.19000
18	83	.18800
19	83	.18800
20	81	.18300
21	81	.18300
22	81	.18300
23	80	.18100
24	80	.18100
25	80	.18100
26	79	.17900
27	79	.17900
28	78	.17600
29	77	.17400
30	77	.17400
31	77	.17400
32	76	.17200
33	76	.17200
34	76	.17200
35	75	.17000
36	75	.17000
37	75	.17000
38	74	.16700
39	74	.16700
40	73	.16500
41	73	.16500
42	73	.16500
43	72	.16300
44	72	.16300
45	71	.16100
46	71	.16100
47	70	.15800
48	69	.15600
49	69	.15600
50	68	.15400
51	68	.15400
52	67	.15100
53	67	.15100
54	67	.15100
55	67	.15100
56	67	.15100
57	67	.15100
58	67	.15100
59	67	.15100
60	66	.14900
61	66	.14900
62	65	.14700
63	65	.14700
64	65	.14700
65	64	.14500
66	64	.14500
67	64	.14500
68	64	.14500
69	64	.14500
70	64	.14500
71	64	.14500
72	63	.14200
73	63	.14200
74	63	.14200
75	63	.14200
76	63	.14200
77	63	.14200
78	62	.14000
79	62	.14000
80	62	.14000
81	62	.14000
82	62	.14000
83	62	.14000
84	61	.13800
85	61	.13800
86	61	.13800
87	61	.13800
88	61	.13800
89	61	.13800
90	61	.13800
91	60	.13600
92	60	.13600
93	60	.13600
94	60	.13600
95	60	.13600
96	60	.13600
97	60	.13600
98	60	.13600
99	60	.13600
100	59	.13300
101	59	.13300
102	59	.13300
103	59	.13300
104	59	.13300
105	58	.13100
106	58	.13100
107	58	.13100
108	58	.13100
109	58	.13100
110	58	.13100
111	57	.12900
112	57	.12900
113	57	.12900
114	57	.12900
115	57	.12900
116	56	.12600
117	56	.12600
118	56	.12600
119	55	.12400
120	55	.12400
121	55	.12400
122	55	.12400
123	55	.12400
124	55	.12400
125	55	.12400
126	55	.12400
127	54	.12200
128	54	.12200
129	54	.12200
130	54	.12200
131	54	.12200
132	54	.12200
133	54	.12200
134	54	.12200
135	54	.12200
136	54	.12200
137	54	.12200
138	54	.12200
139	53	.12000
140	53	.12000
141	53	.12000
142	53	.12000
143	53	.12000
144	53	.12000
145	53	.12000
146	53	.12000
147	53	.12000
148	52	.11700
149	52	.11700
150	52	.11700
151	52	.11700
152	52	.11700
153	52	.11700
154	52	.11700
155	52	.11700
156	51	.11500
157	51	.11500
158	51	.11500
159	51	.11500
160	51	.11500
161	51	.11500
162	51	.11500
163	51	.11500
164	50	.11300
165	50	.11300
166	50	.11300
167	50	.11300
168	50	.11300
169	50	.11300
170	50	.11300
171	50	.11300
172	50	.11300
173	49	.11100
174	49	.11100
175	49	.11100
176	49	.11100
177	49	.11100
178	49	.11100
179	49	.11100
180	49	.11100
181	49	.11100
182	49	.11100
183	48	.10800
184	48	.10800
185	48	.10800
186	48	.10800
187	48	.10800
188	48	.10800
189	48	.10800
190	48	.10800
191	48	.10800
192	48	.10800
193	48	.10800
194	48	.10800
195	48	.10800
196	48	.10800
197	48	.10800
198	48	.10800
199	47	.10600
200	47	.10600
201	47	.10600
202	47	.10600
203	47	.10600
204	47	.10600
205	47	.10600
206	47	.10600
207	47	.10600
208	47	.10600
209	47	.10600
210	46	.10400
211	46	.10400
212	46	.10400
213	46	.10400
214	46	.10400
215	46	.10400
216	46	.10400
217	46	.10400
218	46	.10400
219	46	.10400
220	46	.10400
221	45	.10200
222	45	.10200
223	45	.10200
224	45	.10200
225	45	.10200
226	45	.10200
227	45	.10200
228	45	.10200
229	45	.10200
230	45	.10200
231	44	.09900
232	44	.09900
233	44	.09900
234	44	.09900
235	44	.09900
236	44	.09900
237	44	.09900
238	44	.09900
239	44	.09900
240	44	.09900
241	44	.09900
242	44	.09900
243	44	.09900
244	44	.09900
245	43	.09700
246	43	.09700
247	43	.09700
248	43	.09700
249	43	.09700
250	43	.09700
251	43	.09700
252	43	.09700
253	43	.09700
254	43	.09700
255	42	.09500
256	42	.09500
257	42	.09500
258	42	.09500
259	42	.09500
260	42	.09500
261	42	.09500
262	42	.09500
263	42	.09500
264	42	.09500
265	42	.09500
266	42	.09500
267	42	.09500
268	42	.09500
269	42	.09500
270	42	.09500
271	42	.09500
272	42	.09500
273	42	.09500
274	42	.09500
275	41	.09200
276	41	.09200
277	41	.09200
278	41	.09200
279	41	.09200
280	41	.09200
281	41	.09200
282	41	.09200
283	41	.09200
284	41	.09200
285	41	.09200
286	41	.09200
287	41	.09200
288	41	.09200
289	41	.09200
290	41	.09200
291	41	.09200
292	41	.09200
293	41	.09200
294	40	.09000
295	40	.09000
296	40	.09000
297	40	.09000
298	40	.09000
299	40	.09000
300	40	.09000
301	40	.09000
302	40	.09000
303	40	.09000
304	40	.09000
305	40	.09000
306	40	.09000
307	40	.09000
308	40	.09000
309	40	.09000
310	40	.09000
311	40	.09000
312	39	.08800
313	39	.08800
314	39	.08800
315	39	.08800
316	39	.08800
317	39	.08800
318	39	.08800
319	39	.08800
320	39	.08800
321	39	.08800
322	39	.08800
323	39	.08800
324	39	.08800
325	39	.08800
326	39	.08800
327	39	.08800
328	39	.08800
329	39	.08800
330	39	.08800
331	39	.08800
332	39	.08800
333	39	.08800
334	39	.08800
335	39	.08800
336	39	.08800
337	39	.08800
338	38	.08600
339	38	.08600
340	38	.08600
341	38	.08600
342	38	.08600
343	38	.08600
344	38	.08600
345	38	.08600
346	38	.08600
347	38	.08600
348	38	.08600
349	38	.08600
350	38	.08600
351	38	.08600
352	38	.08600
353	38	.08600
354	38	.08600
355	38	.08600
356	38	.08600
357	37	.08300
358	37	.08300
359	37	.08300
360	37	.08300
361	37	.08300
362	37	.08300
363	37	.08300
364	37	.08300
365	37	.08300
366	37	.08300
367	37	.08300
368	37	.08300
369	37	.08300
370	37	.08300
371	37	.08300
372	37	.08300
373	37	.08300
374	37	.08300
375	36	.08100
376	36	.08100
377	36	.08100
378	36	.08100
379	36	.08100
380	36	.08100
381	36	.08100
382	36	.08100
383	36	.08100
384	36	.08100
385	36	.08100
386	36	.08100
387	36	.08100
388	36	.08100
389	36	.08100
390	36	.08100
391	36	.08100
392	36	.08100
393	36	.08100
394	36	.08100
395	36	.08100
396	36	.08100
397	36	.08100
398	36	.08100
399	36	.08100
400	35	.07900
401	35	.07900
402	35	.07900
403	35	.07900
404	35	.07900
405	35	.07900
406	35	.07900
407	35	.07900
408	35	.07900
409	35	.07900
410	35	.07900
411	35	.07900
412	35	.07900
413	35	.07900
414	35	.07900
415	35	.07900
416	35	.07900
417	34	.07700
418	34	.07700
419	34	.07700
420	34	.07700
421	34	.07700
422	34	.07700
423	34	.07700
424	34	.07700
425	34	.07700
426	34	.07700
427	34	.07700
428	34	.07700
429	34	.07700
430	34	.07700
431	34	.07700
432	34	.07700
433	34	.07700
434	34	.07700
435	34	.07700
436	34	.07700
437	34	.07700
438	33	.07400
439	33	.07400
440	33	.07400
441	33	.07400
442	33	.07400
443	33	.07400
444	33	.07400
445	33	.07400
446	33	.07400
447	33	.07400
448	33	.07400
449	33	.07400
450	33	.07400
451	33	.07400
452	33	.07400
453	33	.07400
454	33	.07400
455	33	.07400
456	33	.07400
457	33	.07400
458	33	.07400
459	33	.07400
460	33	.07400
461	33	.07400
462	33	.07400
463	32	.07200
464	32	.07200
465	32	.07200
466	32	.07200
467	32	.07200
468	32	.07200
469	32	.07200
470	32	.07200
471	32	.07200
472	32	.07200
473	32	.07200
474	32	.07200
475	32	.07200
476	32	.07200
477	32	.07200
478	32	.07200
479	32	.07200
480	32	.07200
481	32	.07200
482	32	.07200
483	32	.07200
484	32	.07200
485	32	.07200
486	32	.07200
487	32	.07200
488	32	.07200
489	32	.07200
490	32	.07200
491	31	.07000
492	31	.07000
493	31	.07000
494	31	.07000
495	31	.07000
496	31	.07000
497	31	.07000
498	31	.07000
499	31	.07000
500	31	.07000
501	31	.07000
502	31	.07000
503	31	.07000
504	31	.07000
505	31	.07000
506	31	.07000
507	31	.07000
508	31	.07000
509	31	.07000
510	31	.07000
511	31	.07000
512	31	.07000
513	31	.07000
514	31	.07000
515	31	.07000
516	31	.07000
517	31	.07000
518	31	.07000
519	31	.07000
520	31	.07000
521	31	.07000
522	31	.07000
523	31	.07000
524	31	.07000
525	30	.06800
526	30	.06800
527	30	.06800
528	30	.06800
529	30	.06800
530	30	.06800
531	30	.06800
532	30	.06800
533	30	.06800
534	30	.06800
535	30	.06800
536	30	.06800
537	30	.06800
538	30	.06800
539	30	.06800
540	30	.06800
541	30	.06800
542	30	.06800
543	30	.06800
544	30	.06800
545	30	.06800
546	30	.06800
547	30	.06800
548	30	.06800
549	30	.06800
550	30	.06800
551	29	.06500
552	29	.06500
553	29	.06500
554	29	.06500
555	29	.06500
556	29	.06500
557	29	.06500
558	29	.06500
559	29	.06500
560	29	.06500
561	29	.06500
562	29	.06500
563	29	.06500
564	29	.06500
565	29	.06500
566	29	.06500
567	29	.06500
568	29	.06500
569	29	.06500
570	29	.06500
571	29	.06500
572	29	.06500
573	29	.06500
574	29	.06500
575	29	.06500
576	29	.06500
577	29	.06500
578	29	.06500
579	29	.06500
580	29	.06500
581	29	.06500
582	29	.06500
583	29	.06500
584	29	.06500
585	29	.06500
586	29	.06500
587	29	.06500
588	29	.06500
589	29	.06500
590	29	.06500
591	29	.06500
592	29	.06500
593	28	.06300
594	28	.06300
595	28	.06300
596	28	.06300
597	28	.06300
598	28	.06300
599	28	.06300
600	28	.06300
601	28	.06300
602	28	.06300
603	28	.06300
604	28	.06300
605	28	.06300
606	28	.06300
607	28	.06300
608	28	.06300
609	28	.06300
610	28	.06300
611	28	.06300
612	28	.06300
613	28	.06300
614	28	.06300
615	28	.06300
616	28	.06300
617	28	.06300
618	28	.06300
619	28	.06300
620	28	.06300
621	28	.06300
622	28	.06300
623	28	.06300
624	28	.06300
625	28	.06300
626	28	.06300
627	28	.06300
628	28	.06300
629	28	.06300
630	28	.06300
631	28	.06300
632	28	.06300
633	28	.06300
634	28	.06300
635	27	.06100
636	27	.06100
637	27	.06100
638	27	.06100
639	27	.06100
640	27	.06100
641	27	.06100
642	27	.06100
643	27	.06100
644	27	.06100
645	27	.06100
646	27	.06100
647	27	.06100
648	27	.06100
649	27	.06100
650	27	.06100
651	27	.06100
652	27	.06100
653	27	.06100
654	27	.06100
655	27	.06100
656	27	.06100
657	27	.06100
658	27	.06100
659	27	.06100
660	27	.06100
661	27	.06100
662	27	.06100
663	27	.06100
664	27	.06100
665	27	.06100
666	27	.06100
667	27	.06100
668	27	.06100
669	27	.06100
670	27	.06100
671	27	.06100
672	27	.06100
673	27	.06100
674	27	.06100
675	27	.06100
676	27	.06100
677	27	.06100
678	27	.06100
679	27	.06100
680	27	.06100
681	27	.06100
682	26	.05800
683	26	.05800
684	26	.05800
685	26	.05800
686	26	.05800
687	26	.05800
688	26	.05800
689	26	.05800
690	26	.05800
691	26	.05800
692	26	.05800
693	26	.05800
694	26	.05800
695	26	.05800
696	26	.05800
697	26	.05800
698	26	.05800
699	26	.05800
700	26	.05800
701	26	.05800
702	26	.05800
703	26	.05800
704	26	.05800
705	26	.05800
706	26	.05800
707	26	.05800
708	26	.05800
709	26	.05800
710	26	.05800
711	26	.05800
712	26	.05800
713	26	.05800
714	26	.05800
715	26	.05800
716	26	.05800
717	25	.05600
718	25	.05600
719	25	.05600
720	25	.05600
721	25	.05600
722	25	.05600
723	25	.05600
724	25	.05600
725	25	.05600
726	25	.05600
727	25	.05600
728	25	.05600
729	25	.05600
730	25	.05600
731	25	.05600
732	25	.05600
733	25	.05600
734	25	.05600
735	25	.05600
736	25	.05600
737	25	.05600
738	25	.05600
739	25	.05600
740	25	.05600
741	25	.05600
742	25	.05600
743	25	.05600
744	25	.05600
745	25	.05600
746	25	.05600
747	25	.05600
748	25	.05600
749	25	.05600
750	25	.05600
751	25	.05600
752	25	.05600
753	25	.05600
754	25	.05600
755	25	.05600
756	25	.05600
757	25	.05600
758	25	.05600
759	25	.05600
760	25	.05600
761	25	.05600
762	25	.05600
763	24	.05400
764	24	.05400
765	24	.05400
766	24	.05400
767	24	.05400
768	24	.05400
769	24	.05400
770	24	.05400
771	24	.05400
772	24	.05400
773	24	.05400
774	24	.05400
775	24	.05400
776	24	.05400
777	24	.05400
778	24	.05400
779	24	.05400
780	24	.05400
781	24	.05400
782	24	.05400
783	24	.05400
784	24	.05400
785	24	.05400
786	24	.05400
787	24	.05400
788	24	.05400
789	24	.05400
790	24	.05400
791	24	.05400
792	24	.05400
793	24	.05400
794	24	.05400
795	24	.05400
796	24	.05400
797	24	.05400
798	24	.05400
799	24	.05400
800	24	.05400
801	24	.05400
802	24	.05400
803	24	.05400
804	24	.05400
805	24	.05400
806	24	.05400
807	24	.05400
808	24	.05400
809	24	.05400
810	24	.05400
811	23	.05200
812	23	.05200
813	23	.05200
814	23	.05200
815	23	.05200
816	23	.05200
817	23	.05200
818	23	.05200
819	23	.05200
820	23	.05200
821	23	.05200
822	23	.05200
823	23	.05200
824	23	.05200
825	23	.05200
826	23	.05200
827	23	.05200
828	23	.05200
829	23	.05200
830	23	.05200
831	23	.05200
832	23	.05200
833	23	.05200
834	23	.05200
835	23	.05200
836	23	.05200
837	23	.05200
838	23	.05200
839	23	.05200
840	23	.05200
841	23	.05200
842	23	.05200
843	23	.05200
844	23	.05200
845	23	.05200
846	23	.05200
847	23	.05200
848	23	.05200
849	23	.05200
850	23	.05200
851	23	.05200
852	23	.05200
853	22	.04900
854	22	.04900
855	22	.04900
856	22	.04900
857	22	.04900
858	22	.04900
859	22	.04900
860	22	.04900
861	22	.04900
862	22	.04900
863	22	.04900
864	22	.04900
865	22	.04900
866	22	.04900
867	22	.04900
868	22	.04900
869	22	.04900
870	22	.04900
871	22	.04900
872	22	.04900
873	22	.04900
874	22	.04900
875	22	.04900
876	22	.04900
877	22	.04900
878	22	.04900
879	22	.04900
880	22	.04900
881	22	.04900
882	22	.04900
883	22	.04900
884	22	.04900
885	22	.04900
886	22	.04900
887	22	.04900
888	22	.04900
889	22	.04900
890	22	.04900
891	22	.04900
892	22	.04900
893	22	.04900
894	21	.04700
895	21	.04700
896	21	.04700
897	21	.04700
898	21	.04700
899	21	.04700
900	21	.04700
901	21	.04700
902	21	.04700
903	21	.04700
904	21	.04700
905	21	.04700
906	21	.04700
907	21	.04700
908	21	.04700
909	21	.04700
910	21	.04700
911	21	.04700
912	21	.04700
913	21	.04700
914	21	.04700
915	21	.04700
916	21	.04700
917	21	.04700
918	21	.04700
919	21	.04700
920	21	.04700
921	21	.04700
922	21	.04700
923	21	.04700
924	21	.04700
925	21	.04700
926	21	.04700
927	21	.04700
928	21	.04700
929	21	.04700
930	21	.04700
931	21	.04700
932	20	.04500
933	20	.04500
934	20	.04500
935	20	.04500
936	20	.04500
937	20	.04500
938	20	.04500
939	20	.04500
940	20	.04500
941	20	.04500
942	20	.04500
943	20	.04500
944	20	.04500
945	20	.04500
946	20	.04500
947	20	.04500
948	20	.04500
949	20	.04500
950	20	.04500
951	20	.04500
952	20	.04500
953	20	.04500
954	20	.04500
955	20	.04500
956	20	.04500
957	20	.04500
958	20	.04500
959	20	.04500
960	20	.04500
961	20	.04500
962	20	.04500
963	20	.04500
964	20	.04500
965	20	.04500
966	19	.04300
967	19	.04300
968	19	.04300
969	19	.04300
970	19	.04300
971	19	.04300
972	19	.04300
973	19	.04300
974	19	.04300
975	19	.04300
976	19	.04300
977	19	.04300
978	19	.04300
979	19	.04300
980	19	.04300
981	19	.04300
982	19	.04300
983	19	.04300
984	19	.04300
985	19	.04300
986	19	.04300
987	19	.04300
988	19	.04300
989	19	.04300
990	19	.04300
991	19	.04300
992	19	.04300
993	19	.04300
994	19	.04300
995	19	.04300
996	19	.04300
997	19	.04300
998	19	.04300
999	19	.04300
1000	19	.04300
1001	19	.04300
1002	18	.04000
1003	18	.04000
1004	18	.04000
1005	18	.04000
1006	18	.04000
1007	18	.04000
1008	18	.04000
1009	18	.04000
1010	18	.04000
1011	18	.04000
1012	18	.04000
1013	18	.04000
1014	18	.04000
1015	18	.04000
1016	18	.04000
1017	18	.04000
1018	18	.04000
1019	18	.04000
1020	18	.04000
1021	18	.04000
1022	18	.04000
1023	18	.04000
1024	18	.04000
1025	18	.04000
1026	18	.04000
1027	18	.04000
1028	18	.04000
1029	18	.04000
1030	18	.04000
1031	18	.04000
1032	18	.04000
1033	18	.04000
1034	18	.04000
1035	18	.04000
1036	18	.04000
1037	18	.04000
1038	18	.04000
1039	18	.04000
1040	18	.04000
1041	18	.04000
1042	18	.04000
1043	18	.04000
1044	18	.04000
1045	18	.04000
1046	17	.03800
1047	17	.03800
1048	17	.03800
1049	17	.03800
1050	17	.03800
1051	17	.03800
1052	17	.03800
1053	17	.03800
1054	17	.03800
1055	17	.03800
1056	17	.03800
1057	17	.03800
1058	17	.03800
1059	17	.03800
1060	17	.03800
1061	17	.03800
1062	17	.03800
1063	17	.03800
1064	17	.03800
1065	17	.03800
1066	17	.03800
1067	17	.03800
1068	17	.03800
1069	17	.03800
1070	17	.03800
1071	17	.03800
1072	16	.03600
1073	16	.03600
1074	16	.03600
1075	16	.03600
1076	16	.03600
1077	16	.03600
1078	16	.03600
1079	16	.03600
1080	16	.03600
1081	16	.03600
1082	16	.03600
1083	16	.03600
1084	16	.03600
1085	16	.03600
1086	16	.03600
1087	16	.03600
1088	16	.03600
1089	16	.03600
1090	16	.03600
1091	16	.03600
1092	16	.03600
1093	16	.03600
1094	16	.03600
1095	16	.03600
1096	16	.03600
